FIPS*,,Name,RUC Code,Percent (All people in poverty (2023)),Lower Bound (All people in poverty (2023)),Upper Bound (All people in poverty (2023)),Percent (Children ages 0-17 in poverty (2023)),Lower Bound (Children ages 0-17 in poverty (2023)),Upper Bound (Children ages 0-17 in poverty (2023))
48401,,Rusk,2,14.2,11.1,17.3,17.1,11.7,22.5
48403,,Sabine,9,14.5,10.8,18.2,30.4,20.9,39.9
48405,,San Augustine,9,20.3,15.6,25,31.8,22,41.6
48407,,San Jacinto,1,16.7,13.2,20.2,25.5,17.9,33.1
48409,,San Patricio,2,17.2,14.2,20.2,25.6,19.9,31.3
48411,,San Saba,9,18.4,14.2,22.6,25.9,17.5,34.3
48413,,Schleicher,8,16,12.3,19.7,22.2,15.1,29.3
48415,,Scurry,7,15.7,12.3,19.1,21.3,15,27.6
48417,,Shackelford,8,12.8,9.7,15.9,18.9,13,24.8
48419,,Shelby,7,18,14.3,21.7,24,16.7,31.3
48421,,Sherman,9,12.8,9.7,15.9,17.5,12,23
48423,,Smith,3,13.2,11.3,15.1,17.1,13,21.2
48425,,Somervell,8,8.8,6.7,10.9,12.7,8.7,16.7
48427,,Starr,4,28.8,24.1,33.5,37,28.1,45.9
48429,,Stephens,7,18.4,14.2,22.6,26.1,18.6,33.6
48431,,Sterling,8,11.5,8.7,14.3,14.6,10,19.2
48433,,Stonewall,9,15.9,12.1,19.7,22.4,15.4,29.4
48435,,Sutton,9,13.4,10.1,16.7,18.8,12.9,24.7
48437,,Swisher,8,19.4,14.8,24,28,19.3,36.7
48439,,Tarrant,1,11,10.2,11.8,14.2,12.5,15.9
48441,,Taylor,3,13.3,11,15.6,15.3,10.6,20
48443,,Terrell,9,18.6,14.1,23.1,21.5,14.6,28.4
48445,,Terry,6,19.3,14.5,24.1,29.4,20.1,38.7
48447,,Throckmorton,9,13.1,9.9,16.3,20.9,14.4,27.4
48449,,Titus,7,15.7,12.7,18.7,20.2,14.5,25.9
48451,,Tom Green,3,14.6,12.4,16.8,17.1,12.8,21.4
48453,,Travis,1,10.2,9.3,11.1,12,9.7,14.3
48455,,Trinity,8,18.9,15,22.8,28.6,19.9,37.3
48457,,Tyler,8,18.5,14.6,22.4,23.8,16.2,31.4
48459,,Upshur,2,13.9,10.8,17,18.6,12.6,24.6
48461,,Upton,8,15.3,11.8,18.8,21.5,14.8,28.2
48463,,Uvalde,6,21,16.3,25.7,32.4,22.8,42
48465,,Val Verde,5,20.2,16.3,24.1,30.1,22.9,37.3
48467,,Van Zandt,8,12,9.2,14.8,16.8,11.7,21.9
48469,,Victoria,3,14.1,11.3,16.9,20,13.9,26.1
48471,,Walker,4,22.4,18.6,26.2,22.6,16.2,29
48473,,Waller,1,13.9,11.1,16.7,18.5,14,23
48475,,Ward,6,14.1,10.9,17.3,18.7,13.2,24.2
48477,,Washington,6,14.5,11.8,17.2,20.3,15.1,25.5
48479,,Webb,2,22.5,19.9,25.1,31.6,26.7,36.5
48481,,Wharton,4,15.3,12,18.6,21.3,14.5,28.1
48483,,Wheeler,9,14.3,10.9,17.7,20.9,14.3,27.5
48485,,Wichita,3,17.6,15.4,19.8,23.6,19.4,27.8
