FIPS_Code,State,Area_Name,Rural_Urban_Continuum_Code_2023,Urban_Influence_Code_2013,Metro_2023,Civilian_labor_force_2000,Employed_2000,Unemployed_2000,Unemployment_rate_2000,Civilian_labor_force_2001,Employed_2001,Unemployed_2001,Unemployment_rate_2001,Civilian_labor_force_2002,Employed_2002,Unemployed_2002,Unemployment_rate_2002,Civilian_labor_force_2003,Employed_2003,Unemployed_2003,Unemployment_rate_2003,Civilian_labor_force_2004,Employed_2004,Unemployed_2004,Unemployment_rate_2004,Civilian_labor_force_2005,Employed_2005,Unemployed_2005,Unemployment_rate_2005,Civilian_labor_force_2006,Employed_2006,Unemployed_2006,Unemployment_rate_2006,Civilian_labor_force_2007,Employed_2007,Unemployed_2007,Unemployment_rate_2007,Civilian_labor_force_2008,Employed_2008,Unemployed_2008,Unemployment_rate_2008,Civilian_labor_force_2009,Employed_2009,Unemployed_2009,Unemployment_rate_2009,Civilian_labor_force_2010,Employed_2010,Unemployed_2010,Unemployment_rate_2010,Civilian_labor_force_2011,Employed_2011,Unemployed_2011,Unemployment_rate_2011,Civilian_labor_force_2012,Employed_2012,Unemployed_2012,Unemployment_rate_2012,Civilian_labor_force_2013,Employed_2013,Unemployed_2013,Unemployment_rate_2013,Civilian_labor_force_2014,Employed_2014,Unemployed_2014,Unemployment_rate_2014,Civilian_labor_force_2015,Employed_2015,Unemployed_2015,Unemployment_rate_2015,Civilian_labor_force_2016,Employed_2016,Unemployed_2016,Unemployment_rate_2016,Civilian_labor_force_2017,Employed_2017,Unemployed_2017,Unemployment_rate_2017,Civilian_labor_force_2018,Employed_2018,Unemployed_2018,Unemployment_rate_2018,Civilian_labor_force_2019,Employed_2019,Unemployed_2019,Unemployment_rate_2019,Civilian_labor_force_2020,Employed_2020,Unemployed_2020,Unemployment_rate_2020,Civilian_labor_force_2021,Employed_2021,Unemployed_2021,Unemployment_rate_2021,Civilian_labor_force_2022,Employed_2022,Unemployed_2022,Unemployment_rate_2022,Civilian_labor_force_2023,Employed_2023,Unemployed_2023,Unemployment_rate_2023,Median_Household_Income_2022,Med_HH_Income_Percent_of_State_Total_2022
48047,TX,"Brooks County, TX",9,9,0,"2,895","2,696",199,6.9,"3,113","2,928",185,5.9,"3,197","2,954",243,7.6,"3,298","3,028",270,8.2,"3,251","3,007",244,7.5,"3,105","2,893",212,6.8,"3,031","2,840",191,6.3,"3,084","2,917",167,5.4,"3,272","3,098",174,5.3,"3,318","3,009",309,9.3,"2,597","2,285",312,12.0,"2,693","2,397",296,11.0,"2,715","2,479",236,8.7,"2,761","2,510",251,9.1,"2,704","2,492",212,7.8,"2,604","2,344",260,10.0,"2,441","2,152",289,11.8,"2,415","2,214",201,8.3,"2,434","2,277",157,6.5,"2,596","2,464",132,5.1,"2,585","2,309",276,10.7,"2,504","2,277",227,9.1,"2,375","2,231",144,6.1,"2,295","2,168",127,5.5,"35,359",48.9
48061,TX,"Cameron County, TX",2,2,1,"127,525","118,520","9,005",7.1,"131,078","120,830","10,248",7.8,"138,254","125,842","12,412",9.0,"142,082","128,489","13,593",9.6,"141,769","129,379","12,390",8.7,"140,866","130,014","10,852",7.7,"143,072","133,521","9,551",6.7,"142,921","134,360","8,561",6.0,"146,091","136,353","9,738",6.7,"151,819","137,116","14,703",9.7,"162,522","144,310","18,212",11.2,"165,944","146,311","19,633",11.8,"165,860","148,873","16,987",10.2,"166,810","150,060","16,750",10.0,"166,204","152,175","14,029",8.4,"163,191","151,483","11,708",7.2,"166,111","154,169","11,942",7.2,"165,051","153,499","11,552",7.0,"164,717","154,504","10,213",6.2,"165,324","156,197","9,127",5.5,"170,184","152,951","17,233",10.1,"176,084","161,984","14,100",8.0,"177,980","167,764","10,216",5.7,"181,270","171,454","9,816",5.4,"49,583",68.6
48105,TX,"Crockett County, TX",8,11,0,"2,048","1,970",78,3.8,"2,041","1,970",71,3.5,"2,108","2,014",94,4.5,"2,176","2,087",89,4.1,"2,090","2,010",80,3.8,"2,044","1,968",76,3.7,"2,028","1,957",71,3.5,"2,070","2,008",62,3.0,"2,207","2,143",64,2.9,"2,288","2,093",195,8.5,"1,725","1,576",149,8.6,"1,715","1,597",118,6.9,"1,769","1,681",88,5.0,"1,880","1,783",97,5.2,"1,930","1,856",74,3.8,"1,901","1,786",115,6.0,"1,737","1,606",131,7.5,"1,667","1,599",68,4.1,"1,621","1,573",48,3.0,"1,618","1,571",47,2.9,"1,546","1,408",138,8.9,"1,474","1,376",98,6.6,"1,432","1,375",57,4.0,"1,503","1,453",50,3.3,"71,851",99.4
48109,TX,"Culberson County, TX",9,12,0,"1,495","1,409",86,5.8,"1,547","1,474",73,4.7,"1,606","1,510",96,6.0,"1,599","1,510",89,5.6,"1,545","1,463",82,5.3,"1,655","1,589",66,4.0,"1,637","1,585",52,3.2,"1,753","1,705",48,2.7,"1,756","1,704",52,3.0,"1,814","1,743",71,3.9,"1,034",960,74,7.2,"1,018",945,73,7.2,987,928,59,6.0,"1,017",965,52,5.1,"1,012",969,43,4.2,"1,041",997,44,4.2,"1,000",959,41,4.1,916,882,34,3.7,968,938,30,3.1,"1,034",991,43,4.2,"1,126","1,052",74,6.6,"1,075","1,023",52,4.8,"1,159","1,126",33,2.8,"1,246","1,206",40,3.2,"52,160",72.2
48127,TX,"Dimmit County, TX",7,6,0,"3,872","3,532",340,8.8,"3,878","3,578",300,7.7,"4,025","3,655",370,9.2,"4,248","3,847",401,9.4,"3,995","3,635",360,9.0,"3,830","3,512",318,8.3,"3,831","3,536",295,7.7,"3,961","3,709",252,6.4,"3,970","3,708",262,6.6,"4,210","3,791",419,10.0,"3,861","3,453",408,10.6,"4,911","4,519",392,8.0,"5,751","5,418",333,5.8,"6,769","6,427",342,5.1,"7,648","7,355",293,3.8,"7,164","6,830",334,4.7,"6,242","5,796",446,7.1,"6,441","6,113",328,5.1,"7,303","7,082",221,3.0,"7,384","7,197",187,2.5,"6,461","6,049",412,6.4,"5,928","5,599",329,5.5,"6,180","5,942",238,3.9,"6,288","6,085",203,3.2,"44,312",61.3
48131,TX,"Duval County, TX",9,9,0,"5,024","4,667",357,7.1,"5,226","4,891",335,6.4,"5,068","4,603",465,9.2,"5,279","4,837",442,8.4,"5,276","4,913",363,6.9,"5,271","4,943",328,6.2,"5,238","4,950",288,5.5,"5,137","4,882",255,5.0,"5,176","4,898",278,5.4,"5,269","4,695",574,10.9,"5,047","4,457",590,11.7,"5,213","4,706",507,9.7,"5,419","5,040",379,7.0,"5,531","5,175",356,6.4,"5,523","5,211",312,5.6,"5,241","4,815",426,8.1,"4,887","4,352",535,10.9,"4,768","4,399",369,7.7,"5,028","4,763",265,5.3,"4,914","4,695",219,4.5,"4,823","4,236",587,12.2,"5,472","5,034",438,8.0,"5,069","4,841",228,4.5,"4,987","4,768",219,4.4,"40,539",56.1
48137,TX,"Edwards County, TX",9,12,0,956,914,42,4.4,"1,040",993,47,4.5,"1,072","1,017",55,5.1,"1,140","1,091",49,4.3,"1,104","1,059",45,4.1,"1,031",989,42,4.1,961,919,42,4.4,"1,001",961,40,4.0,"1,043","1,004",39,3.7,"1,079","1,003",76,7.0,"1,038",964,74,7.1,990,923,67,6.8,925,866,59,6.4,902,849,53,5.9,866,828,38,4.4,865,825,40,4.6,867,827,40,4.6,899,870,29,3.2,877,852,25,2.9,"1,040","1,016",24,2.3,"1,234","1,190",44,3.6,"1,287","1,232",55,4.3,"1,193","1,158",35,2.9,"1,264","1,233",31,2.5,"50,752",70.2
48141,TX,"El Paso County, TX",2,2,1,"275,899","257,068","18,831",6.8,"275,534","255,531","20,003",7.3,"283,212","260,151","23,061",8.1,"288,427","263,013","25,414",8.8,"288,764","266,900","21,864",7.6,"291,327","270,545","20,782",7.1,"291,307","271,535","19,772",6.8,"291,434","274,214","17,220",5.9,"298,075","279,688","18,387",6.2,"308,412","281,253","27,159",8.8,"341,489","309,927","31,562",9.2,"346,916","312,917","33,999",9.8,"346,680","317,204","29,476",8.5,"346,619","318,975","27,644",8.0,"344,136","321,731","22,405",6.5,"341,782","323,955","17,827",5.2,"349,935","332,601","17,334",5.0,"351,540","335,163","16,377",4.7,"355,713","340,580","15,133",4.3,"359,596","345,847","13,749",3.8,"361,398","331,382","30,016",8.3,"366,331","343,774","22,557",6.2,"370,182","354,166","16,016",4.3,"378,938","362,318","16,620",4.4,"53,441",73.9
48163,TX,"Frio County, TX",6,4,0,"6,179","5,798",381,6.2,"6,235","5,829",406,6.5,"6,293","5,807",486,7.7,"6,617","6,097",520,7.9,"6,493","6,036",457,7.0,"6,399","6,008",391,6.1,"6,463","6,107",356,5.5,"6,510","6,188",322,4.9,"6,869","6,499",370,5.4,"7,460","6,905",555,7.4,"7,595","7,038",557,7.3,"7,966","7,432",534,6.7,"8,652","8,219",433,5.0,"9,268","8,831",437,4.7,"10,326","9,952",374,3.6,"9,806","9,427",379,3.9,"8,783","8,355",428,4.9,"9,294","8,925",369,4.0,"10,110","9,820",290,2.9,"10,351","10,079",272,2.6,"9,515","8,975",540,5.7,"9,477","9,022",455,4.8,"9,490","9,164",326,3.4,"9,383","9,078",305,3.3,"46,769",64.7
48215,TX,"Hidalgo County, TX",2,2,1,"211,851","192,259","19,592",9.2,"219,379","198,331","21,048",9.6,"230,937","206,838","24,099",10.4,"245,506","219,937","25,569",10.4,"254,517","231,371","23,146",9.1,"261,782","240,836","20,946",8.0,"265,959","246,140","19,819",7.5,"272,038","254,009","18,029",6.6,"282,708","262,352","20,356",7.2,"297,367","266,261","31,106",10.5,"318,793","281,155","37,638",11.8,"326,643","287,651","38,992",11.9,"327,192","292,711","34,481",10.5,"330,700","296,229","34,471",10.4,"331,733","302,287","29,446",8.9,"331,119","304,695","26,424",8.0,"337,251","310,858","26,393",7.8,"340,521","314,913","25,608",7.5,"345,147","322,241","22,906",6.6,"349,181","327,268","21,913",6.3,"359,152","317,207","41,945",11.7,"367,863","334,443","33,420",9.1,"371,568","347,089","24,479",6.6,"378,591","355,519","23,072",6.1,"48,825",67.6
